0,4,8,9
1,Nicosia - Traffic Station,35.15192246950294,33.347919957077806
2,Nicosia - Residential Station,35.1269444,33.33166670000003
3,Limassol - Traffic Station,34.6861111,33.03555559999995
4,Limassol - Residential Station,34.6816667,33.017777799999976
5,Larnaca - Traffic Station,34.9166667,33.627500000000055
6,Larnaca - Residential Station,34.9136111,33.61583329999996
7,Paphos - Traffic Station,34.7752778,32.42194440000003
8,Zygi - Industrial Station,34.7294444,33.33749999999998
9,Ayia Marina Xyliatou - Background Station,35.0380556,33.05777779999994
10,Troodos - Background Station,34.918964669437464,32.882763671874955
11,Cavo Greco - Background Station,34.9616667,34.08166670000003
12,Inia - Background Station,34.9622222,32.37694439999996
13,Stravrovouni - Background Station,34.88334727368627,33.43788146972656
14,Mari - Industrial Station,34.74015413889849,33.30027554245612
15,Paphos - Traffic Station,34.772166887756256,32.418082019018584
16,Paralimni - Traffic Station,35.04569276191925,33.977734884655774
